名称,住所
ヘルパーステーションかるがも川口,埼玉県川口市榛松3-46-29
ヘルパーステーション　さくらの杜川口,埼玉県川口市芝高木2-25-4エステートピア矢作Ⅱ107号室
訪問介護事業所ケアーズ,埼玉県川口市戸塚6-20-13
マザーズハウス川口,埼玉県川口市大字伊刈1510-1
やさしい手川口三ツ和巡回訪問介護事業所,埼玉県川口市三ツ和1-4-21
ラック,埼玉県川口市南前川2-17-7
光ケア,埼玉県川口市芝6299
ご長寿くらぶ川口新井宿訪問介護事業所,埼玉県川口市西新井宿27-4
訪問介護事業所すみれ,埼玉県川口市安行領根岸500-1
芝ケアステーション,埼玉県川口市芝2-13-23ファミーユ伸和1階C
ヘルパーステーション・アニマート東川口,埼玉県川口市長蔵2-23-3パームガーデン108号室
燦々ケア,埼玉県川口市桜町4-2-14渡辺荘
ハルノケア川口中央,埼玉県川口市坂下町3-6-12
セントジール,埼玉県川口市中青木3-9-1青木町ハイツ1階116号室
ケアセンターまぁむ　川口,埼玉県川口市飯塚1-2-16 2F
SOMPOケア　川口東領家　訪問介護,埼玉県川口市東領家2-8-6
ケアリッツ東川口,埼玉県川口市戸塚2-25-16りとる欅2階
ウェルハウス訪問介護事業所,埼玉県川口市木曽呂497-12
高度介護福祉チーム,埼玉県川口市江戸1-16-7グリーンミユキ川口江戸705号室
山桜＠訪問介護ステーション,埼玉県川口市東本郷1450-1
ルーエンハイム川口訪問介護センター,埼玉県川口市上青木6-15-18
ヘルパーステーション太陽,埼玉県川口市北原台1-12-21エマーユ東川口105
介護センター　ひかり,埼玉県川口市東本郷1150-6
星風会訪問介護ステーション川口,埼玉県川口市上青木1-23-11
さんしゃいん介護サービス,埼玉県川口市柳崎5-9-9コーポフラワーA棟103号室
訪問介護事業所　くおら,埼玉県川口市上青木6-12-2光ハイツ102号
訪問介護りあん,埼玉県川口市芝樋ノ爪１－１１－３３
SOMPOケア　川口栄　訪問介護,埼玉県川口市栄町1-11-11　コーポ高徳101号室
樹楽・にじむすび　川口,埼玉県川口市川口５丁目９－１１モンターリーブル１０２
ヘルパーステーションみどり,埼玉県川口市芝樋ノ爪１－９－１３
在宅介護センター　ゆうゆう,埼玉県川口市安行原９３０－４８
介護老人福祉施設ベルホーム,埼玉県川口市辻９５８
訪問介護ステーション　せんば,埼玉県川口市南鳩ヶ谷４丁目２７番４号　マンションザ佳苑
有限会社　さくらあんしんサービス,埼玉県川口市南鳩ヶ谷２丁目６番５４号
訪問介護事業所　桜,埼玉県川口市桜町５丁目５番地２７　アーバンライフ１０６号室
訪問入浴介護事業所ひまわり,埼玉県川口市安行原２４５１－３
アサヒサンクリーン在宅介護センター川口,埼玉県川口市北園町４６－１５藤原ビル１０５
株式会社　あくび,埼玉県川口市本町１－７－８　Ａ１０３
株式会社大起エンゼルヘルプ　川口ケアセンター,埼玉県川口市芝園町3-12-101
株式会社ケアサービス　訪問入浴　川口,埼玉県川口市芝6499
SOMPOケア　川口栄　訪問入浴,埼玉県川口市栄町1-11-11　コーポ高徳101号室
川口訪問看護ステーション,埼玉県川口市川口６－５－１４川口市高齢者在宅サービスセンター内
訪問看護ステーション虹,埼玉県川口市木曽呂1347
県南訪問看護ステーション,埼玉県川口市芝５－１６－４５　１F
埼玉県済生会訪問看護ステーションきゅうぽら,埼玉県川口市西川口6-4-14
ケアセンターかがやき（訪問看護）,埼玉県川口市中青木４－１－２４
訪問看護ステーションすこやか,埼玉県川口市芝中田２－３２－１５
訪問看護ステーション　しんあい,埼玉県川口市本町４－５－８－川口ハウス２００号
オレンジケア訪問看護ステーション,埼玉県川口市芝６８２６番地
訪問看護ステーション  ひだまりの郷,埼玉県川口市上青木１－１０－２１
益子老人保健施設訪問看護ステーション「さわやか」,埼玉県川口市新井宿８０２－５
しらこばと,埼玉県川口市伊刈1059-3
アトム訪問看護・リハビリステーション,埼玉県川口市江戸３－５－１３
特定非営利活動法人えがお　訪問看護ステーション　あい,埼玉県川口市東本郷965
医療法人社団光恵会　芝西訪問看護ステーション,埼玉県川口市芝6224-1
訪問看護ステーションけやき,埼玉県川口市大字赤山２１６番地１－３号棟
マナ　訪問看護ステーション,埼玉県川口市飯塚1-8-11
西川口訪問看護リハビリステーション,埼玉県川口市西川口６－７－５神津ビル１階
訪問看護ステーション結,埼玉県川口市並木3-9-6精光堂ビル2F
訪問看護ステーションゆう,埼玉県川口市東本郷1-5-25
医療法人髙仁会　訪問看護ステーションゆうあい,埼玉県川口市飯塚1-13-6岩田屋ビル1階
訪問看護ステーション　デューン川口,埼玉県川口市幸町2-7-18フォレストビル202号
ましろ訪問看護リハビリステーション東川口,埼玉県川口市戸塚1-27-5ザルネサンスヒルズⅡ-10A
まちの保健室訪問看護ステーション,埼玉県川口市芝6990-82
訪問看護ステーション　ルピナス川口,埼玉県川口市西青木2-15-7めぐみの里106号
指定訪問看護　アットリハ川口,埼玉県川口市南鳩ヶ谷1-22-1松本ビル1階
訪問看護ステーション　ハートケア,埼玉県川口市上青木西3-6-28木村貸事務所2F
たまき訪問看護リハビリステーション,埼玉県川口市西青木3-10-7レスポワール小陽
訪問看護かえりえ川口,埼玉県川口市幸町2-2-16クレールマルシェ川口3階
お結び訪問看護ステーション,埼玉県川口市戸塚6-10-17アウローラ参番館204号室
鳩ヶ谷訪問看護ステーション,埼玉県川口市坂下町１－８－１６
ほほえみ訪問看護ステーション,埼玉県川口市里９３６－１－９０２
医療法人社団武蔵野会　介護老人保健施設　グリーンビレッジ安行,埼玉県川口市安行１１４５
介護老人保健施設　かわぐちナーシングホーム,埼玉県川口市西新井宿１０２２－１
埼玉厚生病院訪問リハビリテーション,埼玉県川口市南鳩ヶ谷６－５－５
川口訪問看護ステーション,埼玉県川口市川口６－５－１４　川口市高齢者在宅サービスセンター内
川口市通所介護事業所「芝れんげそう」,埼玉県川口市伊刈２０番地
川口市通所介護事業所「新郷れんげそう」,埼玉県川口市大字赤井１０５５番地
川口市通所介護事業所　「横曽根れんげそう」,埼玉県川口市川口６－５－１４
川口市通所介護事業所　「社会福祉センター」,埼玉県川口市道合１４２１
ケアパートナー川口,埼玉県川口市差間３丁目１７番４１号
老人デイサービスセンター ひまわり,埼玉県川口市安行原２４５１－３
ゆめふる川口店,埼玉県川口市芝５－１－８ グレースマンション芝１階
デイサービスセンター  エンゼルヘルプ川口,埼玉県川口市芝富士１－９－２５
いろは苑,埼玉県川口市芝中田２－３２－１５
アビリティーズ・デイサービス川口,埼玉県川口市飯塚３－８－１７
川口 ケアセンターそよ風,埼玉県川口市東本郷１２６７－１
デイサービスセンター リバー・イン,埼玉県川口市上青木５－５－５４
デイサービスセンター　ほっとみるく,埼玉県川口市柳崎３丁目１９番８号
デイルーム　ＪＵＮ,埼玉県川口市中青木１－６－１
デイサービスセンター　ひだまりの郷　南前川,埼玉県川口市南前川２－２６－１
ライフケアセンター・ナイスデイ川口,埼玉県川口市青木１－１－１５
ピュアハウス　青い鳥,埼玉県川口市芝下２－５－８
シルバーホクソン　デイサービス　ふぁいん,埼玉県川口市弥平３－３－１６
ツクイ川口安行,埼玉県川口市安行北谷６１７－１
デイサービス　みらい,埼玉県川口市朝日３－９－４
ツクイ川口戸塚,埼玉県川口市戸塚４－１１－２５
ケアセンターかがやき,埼玉県川口市中青木４－１－２４
デイサービス　かみね,埼玉県川口市安行領根岸１２６０
たんぽぽ介護サービス朝日,埼玉県川口市朝日６－１６－７
東電さわやかデイサービス芝湯里,埼玉県川口市芝１－２３－５　ルミエール３番館１階 
川口明生苑　デイサービスセンター,埼玉県川口市上青木３－１０－１７
ぴゅあ　デイリゾート　ＯＨＡＮＡ,埼玉県川口市上青木西２－４－８
デイサービスセンター　春香苑,埼玉県川口市末広三丁目３番３０
シルバーホクソン　デイサービス　ふぁいん　東領家,埼玉県川口市東領家３－２３－３
デイサービスセンターケアサポートかわぐち,埼玉県川口市榛松１－８－５
ビーステップ川口　デイサービス彩,埼玉県川口市領家１－２４－１
ロイヤルデイサービスセンター,埼玉県川口市青木２－５－２４
デイサービスセンター　ウェルハウス大塚,埼玉県川口市木曽呂４９７番地１２
かわぐち翔裕園デイサービスセンター,埼玉県川口市赤芝新田１１４－１
デイサービスセンター　ウェルハウス戸塚,埼玉県川口市戸塚南２－１９－２０
イリーゼ川口デイサービスセンター,埼玉県川口市石神１５７３－１０
ツクイ川口元郷,埼玉県川口市元郷１－１－３
ゆうゆう館,埼玉県川口市川口六丁目４番３０号
ジョイリハ柳崎,埼玉県川口市柳崎一丁目２番２３号
川口市通所介護事業所「鳩ヶ谷れんげそう」,埼玉県川口市八幡木１丁目１９番地の５
デイサービスさしま,埼玉県川口市差間３２３
グランヴィデイサービスセンター,埼玉県川口市前川3-39-15
デイサービスセンターしあわせ峯,埼玉県川口市峯１３７１番地の１
スマイルリハビリセンター　フィジオ,埼玉県川口市赤井一丁目１０番地２
コミュニケア２４癒しのデイサービス西川口,埼玉県川口市並木三丁目１７番５号
デイサービスみちあい,埼玉県川口市道合８７４番４
リハビリデイサービス　銀齢,埼玉県川口市芝中田二丁目３３番１号
アースサポート東川口,埼玉県川口市戸塚東１丁目１０番４号
シルバーホクソン　デイサービス　ふぁいん　前川,埼玉県川口市前上町７－８
フィットネスデイ　ＰＯＮＯＰＯＮＯ,埼玉県川口市本蓮２－２６－５　本栄ビル１Ｆ
デイサービスポルカ,埼玉県川口市芝２７６０番地の３
ヒューマンサポート川口赤井デイサービスセンター,埼玉県川口市赤井５９０－１
かがやきデイサービス川口根岸,埼玉県川口市安行領根岸１００２－１
コミュニケア２４癒しのデイサービス八幡木,埼玉県川口市八幡木二丁目３１番地の３３
デイサービスセンターエクラシア川口榛松,埼玉県川口市榛松919
ジェリスデイセンター,埼玉県川口市大字西新井宿221-1
医療法人社団星風会　デイサービスセンター　ヴィエント川口,埼玉県川口市上青木1-23-18
デイサービスセンターエクラシア川口石神,埼玉県川口市石神191-1
デイサービスセンターエクラシア蕨,埼玉県川口市芝富士1-8-31
イオンスマイル川口南鳩ヶ谷店,埼玉県川口市南鳩ヶ谷3丁目17番17
パナソニック　エイジフリーケアセンター川口南町・デイサービス,埼玉県川口市南町２丁目８番２９号
ブルーミングケア川口安行原,埼玉県川口市安行原２７２２－１
エルライフ東川口,埼玉県川口市戸塚東1-5-21志陽ハイツ戸塚東101
デイサービスセンター　ウェルハウス安行,埼玉県川口市安行領家654番地1
老人デイサービス　春輝苑,埼玉県川口市青木３－２０－１５
ブルーミングケア川口中央,埼玉県川口市神戸151-2
デイサービスセンター　さくら,埼玉県川口市桜町5-5-28
あいりんぐタイム,埼玉県川口市青木4-7-17
特別養護老人ホーム　　ひかり苑　デイホームたんぽぽ,埼玉県川口市坂下町４－１６－３
水縁デイサービス,埼玉県川口市桜町４－２－１４桜マンション１０１号
鳩ヶ谷ケアセンターそよ風,埼玉県川口市里１２１８
ヒューマンライフケア武南,埼玉県川口市南鳩ヶ谷６丁目４番４号ウィステリアヤハギ１階
老人保健施設みぬま,埼玉県川口市木曽呂１３４７
介護老人保健施設  ミレニアムマッシーランド,埼玉県川口市新井宿８０２－５
介護老人保健施設厚生会川口ケアセンター,埼玉県川口市西新井宿１２７１－１
老健ねぎしケアセンター,埼玉県川口市安行領根岸２３５３番地
介護老人保健施設　グリーンビレッジ安行,埼玉県川口市安行１１４５
川口メディケアセンター（従来型）,埼玉県川口市西新井宿９２３番の１
川口診療所,埼玉県川口市仲町１番３６号
通所リハビリテーション事業所　青葉,埼玉県川口市赤芝新田１０－１
社会福祉法人　川口長生会　特別養護老人ホーム　さざんかの郷,埼玉県川口市大字新井宿８２４番地
川口市短期入所生活介護事業「川口市特別養護老人ホーム」,埼玉県川口市大字赤井１０５５番地
短期入所生活介護　紫水苑,埼玉県川口市大字石神１５６０－１
総合ケアセンター リバー・イン,埼玉県川口市上青木５－５－５４
特別養護老人ホーム  和楽苑,埼玉県川口市安行領家５０６－１５
特別養護老人ホーム　川口シニアセンター,埼玉県川口市西新井宿１２１６－６
短期入所生活介護事業所　川口しあわせの里,埼玉県川口市安行領根岸字原山３７６３番地
短期入所生活介護　春輝苑,埼玉県川口市青木３丁目２０番１５号
短期入所生活介護事業所　春香苑,埼玉県川口市末広三丁目３番３０号
短期入所生活介護事業所　川口かがやきの里,埼玉県川口市西新井宿字北田1065番1
川口キングス・ガーデン,埼玉県川口市赤芝新田５２５－１
ショートステイケアサポートかわぐち,埼玉県川口市榛松1－8－5
短期入所生活介護事業所　かわぐち翔裕園,埼玉県川口市赤芝新田１１４－１
介護老人福祉施設　マッシーテラス,埼玉県川口市芝下一丁目１－３６
特別養護老人ホーム　親光,埼玉県川口市西新井宿９３１
イリーゼ川口ショートステイ,埼玉県川口市石神１５７３－１０
くすのき,埼玉県川口市原町４－５
ショートステイ　川口さくらの杜,埼玉県川口市神戸５３９番地５
特別養護老人ホーム　かわぐちロイヤルの園,埼玉県川口市西立野４８番地
特別養護老人ホーム　悠久の栖,埼玉県川口市道合字八本木９３７番－１
みやびの郷　短期入所生活介護支援事業所,埼玉県川口市石神５８
短期入所生活介護　川口ほほえみの里,埼玉県川口市大字西新井宿字北田９８０
道合さくらの杜,埼玉県川口市道合１３１８－１
川口元郷ショートステイそよ風,埼玉県川口市元郷4-8-22
特別養護老人ホーム　とわの郷,埼玉県川口市赤山76-1
パナソニック　エイジフリーケアセンター川口南町・ショートステイ,埼玉県川口市南町2-8-29
短期入所生活介護事業所　第２春香苑,埼玉県川口市末広3-4-13
ショートステイ　香の里,埼玉県川口市安行小山456
ハーケンハイム川口短期入所生活介護,埼玉県川口市上青木6-14-10
未来倶楽部　川口新井宿（短期入所生活介護）,埼玉県川口市大字赤山1155
ショートステイ　孝の季苑,埼玉県川口市青木５丁目１７番２３号
特別養護老人ホーム　ひかり苑,埼玉県川口市坂下町４－１６－３
介護老人福祉施設ベルホーム,埼玉県川口市大字辻字永堀９５８番地
社会医療法人社団　大成会　武南病院,埼玉県川口市東本郷２０２６
一般財団法人　鳩ヶ谷中央病院,埼玉県川口市桜町６－１２－５５
医療法人　あかつき会　はとがや病院,埼玉県川口市坂下町４－１６－２６
介護老人保健施設　グリーンビレッジ安行,埼玉県川口市大字安行１１４５
川口メディケアセンター,埼玉県川口市西新井宿９２３番の１
介護医療院　ひだまりの郷,埼玉県川口市上青木４－２－６
ライフコミューン川口,埼玉県川口市江戸袋１－１１－２７
サンシティ 東川口,埼玉県川口市差間２－６－５０
ベストライフ川口東,埼玉県川口市原町９－１５
そんぽの家　東川口,埼玉県川口市木曽呂７１７－１
サニーポート川口,埼玉県川口市東川口５－４－１０
グランヴィ川口,埼玉県川口市前川3丁目39-15
まどか南浦和,埼玉県川口市小谷場５８
ハートランド川口明生苑,埼玉県川口市上青木三丁目１０番１７号
有料老人ホーム　ソラスト川口,埼玉県川口市弥平２－２２－１０ 
ライフ＆シニアハウス　リボンシティ川口,埼玉県川口市並木元町１番６５号
アビリティーズ・気まま館川口,埼玉県川口市飯塚三丁目８番１７号
ケアリングステーションらいふ川口,埼玉県川口市柳崎４丁目８－３３
ロイヤル川口,埼玉県川口市青木２－５－２４
シーハーツ川口,埼玉県川口市上青木１－２－２４
介護付有料老人ホーム東川口やわらぎ苑,埼玉県川口市戸塚２－２１－１８
メディカル・リハビリホームまどか川口,埼玉県川口市青木５丁目１０番１０号
リハビリホームまどか川口本町,埼玉県川口市本町１丁目１４番１６号
ホームステーションらいふ川口元郷,埼玉県川口市元郷６－８－５
あんしんホーム川口,埼玉県川口市江戸袋一丁目４番２０号
グランダ南浦和,埼玉県川口市小谷場６３番地２
ボンセジュール川口,埼玉県川口市朝日５－５－１０
ピュアリーフ川口,埼玉県川口市石神１７０８番地
ライフパートナー川口,埼玉県川口市安行原６２番３
アミカの郷川口,埼玉県川口市本蓮１－１９－２１
有料老人ホームグランシア川口,埼玉県川口市芝２７６０番地の３
イルミーナかわぐち,埼玉県川口市里１１８６－１
イリーゼ川口宮町,埼玉県川口市宮町１６－１２
ウェルケアテラス川口元郷,埼玉県川口市弥平二丁目２２番２号
かわぐち翔裕館,埼玉県川口市戸塚南２丁目１８番１号
有料老人ホーム　サニーライフ西川口,埼玉県川口市西川口４丁目１６番５号
ニチイケアセンター川口北,埼玉県川口市差間３２４番地の１
イリーゼ川口安行,埼玉県川口市安行９２－１
介護付有料老人ホーム　みんなの家・川口東本郷,埼玉県川口市大字東本郷２９０番１
さかえグリーンハート川口,埼玉県川口市東川口五丁目９番１６号
まどか川口芝,埼玉県川口市芝西一丁目１４番８号
ベストライフ東川口,埼玉県川口市戸塚3-3-10
ニチイホーム　川口,埼玉県川口市本町2-11-1
有料老人ホーム　セリシール川口,埼玉県川口市榛松305-1
有料老人ホーム　サニーライフ川口赤井台,埼玉県川口市赤井570
未来倶楽部　川口新井宿,埼玉県川口市赤山1155
ベストライフ鳩ケ谷,埼玉県川口市三ツ和1-29-32
リアンレーヴ川口,埼玉県川口市八幡木1-13-12
応援家族　東川口,埼玉県川口市東川口1-11-14
リアンレーヴ川口新井宿,埼玉県川口市新井宿19-1
有料老人ホーム　サニーライフ東川口,埼玉県川口市藤兵衛新田字中通１６８番地１
ＳＯＭＰＯケア　ラヴィーレ南浦和,埼玉県川口市小谷場３７番1
ＳＯＭＰＯケア　ラヴィーレ川口安行,埼玉県川口市安行小山487-5
ヒューマンライフケア鳩ヶ谷の郷,埼玉県川口市鳩ヶ谷本町三丁目２４番８号
介護付有料老人ホーム　みんなの家・鳩ヶ谷,埼玉県川口市三ツ和２丁目２９番１１号
アズミメディケアセンター埼玉,埼玉県川口市芝４－７－２４
株式会社　シルバーホクソン,埼玉県川口市中青木２丁目２２－３４
株式会社　ピュアホームズ,埼玉県川口市芝１－１４－１
有限会社　きぼう,埼玉県川口市柳崎３－１９－８
パナソニックエイジフリーショップ戸田川口西,埼玉県川口市前川２－２６－８
パナソニックエイジフリーショップ　武南,埼玉県川口市赤井１－２５－８マツヨシビル1階
アビリティーズ・ケアネット株式会社　さいたま営業所,埼玉県川口市飯塚３－８－１７
株式会社　ウェルフェア,埼玉県川口市戸塚六丁目１６番１１号
アイリングモチヅキ,埼玉県川口市青木4-7-17
株式会社セリオ　埼玉南営業所,埼玉県川口市東川口５－３－５
株式会社Ｍケアテック,埼玉県川口市芝一丁目４４番１３号
リステ,埼玉県川口市領家２丁目４番１５号
株式会社　あくび,埼玉県川口市本町１－７－８Ａ１０１
株式会社モリシン,埼玉県川口市金山町１２番１サウスゲートタワー２階
ダスキンヘルスレント川口ステーション,埼玉県川口市上青木西２－１０－１６　１－Ｂ
株式会社日本ハウスホールディングス　川口営業所,埼玉県川口市並木１丁目２－２４
福祉用具ステーションゆう,埼玉県川口市東本郷1-5-25
福祉用具貸与・販売よつば,埼玉県川口市安行原1391-1
ＮＰＯ法人ケアたつ,埼玉県川口市新堀50-2
株式会社かんきょう　埼玉支店,埼玉県川口市東川口1-22-4
まっかな花　川口草加,埼玉県川口市新堀993-8
福祉用具のふくちゃん,埼玉県川口市本町4-4-12-2401
ロイヤルエイド,埼玉県川口市本町4-7-21オーベル川口本町301号室
株式会社　ハッピーワンダフル,埼玉県川口市南鳩ヶ谷７－４０－６
フランスベッド株式会社メディカル埼玉東営業所,埼玉県川口市芝新町６番１５号　わらび市川ビル１０１
株式会社  日本ケアーシステム,埼玉県川口市南鳩ヶ谷３丁目１９番２７号
株式会社ワンダフルライフ,埼玉県川口市辻１３４－１０
ケアセンターきょうどう,埼玉県川口市木曽呂１３４７
ダイワ薬局,埼玉県川口市本前川１－１３－６
ハピネスケア株式会社　川口・芝居宅介護支援センター,埼玉県川口市芝５９３４－１
川口訪問看護ステーション朝日,埼玉県川口市朝日３－２１－１９パステルハイツ１０２号
指定居宅介護支援事業所　ＪＵＮ,埼玉県川口市中青木１－７－２４－１０４
県南訪問看護ステーション介護支援事業所,埼玉県川口市芝５－１６－４５　１Ｆ
川口市新郷居宅介護支援事業所,埼玉県川口市赤井１０５５
川口市横曽根居宅介護支援事業所,埼玉県川口市川口６－５－１４
川口市芝居宅介護支援事業所,埼玉県川口市伊刈２０
アイリング・サポート株式会社,埼玉県川口市青木４－７－１７
介護支援センター　ひだまりの郷,埼玉県川口市上青木１－１０－２１
ラック青木,埼玉県川口市青木１－６－１　埼京運輸本社ビル
指定居宅介護支援事業所　紫水苑,埼玉県川口市大字石神１５６０－１
株式会社　大起エンゼルヘルプ川口ケアセンター,埼玉県川口市芝園町３番１２号棟１０１号室
居宅介護支援事業所シルバーホクソン末広,埼玉県川口市末広２－１５－１９グレース小嶋１Ｆ
ケアパートナー　川口,埼玉県川口市差間３－１７－４１
居宅介護支援事業者　弘秀会,埼玉県川口市大字赤芝新田１０－１
やさしい手川口居宅介護支援事業所,埼玉県川口市前川４－４１－１５
介護支援センター　いまむら,埼玉県川口市幸町１－５－１７　
居宅介護支援事業所　しんあい,埼玉県川口市本町４－５－８川口ハウス２００号
ニチイケアセンター柳崎,埼玉県川口市柳崎５－１－１　ツカサビル１Ｆ
健仁会ましこ居宅介護支援事業所,埼玉県川口市芝中田２－３１－８
東川口ケアプランセンター,埼玉県川口市東川口2－7ー3コモド・ヴィアーレ参番館102号
居宅介護支援事業所ひまわり,埼玉県川口市安行原２４５１－３
居宅介護支援事業所 サカモト,埼玉県川口市芝下2-18-21-102ユタカハイム
介護相談室  リバー・イン,埼玉県川口市上青木５－５－５４
居宅介護支援事業所　ハートケア,埼玉県川口市上青木１－１１－１７
居宅介護支援事業所　しんせつ,埼玉県川口市戸塚六丁目１６番１１号
ＮＰＯ法人　介護サポートなごみ・戸塚,埼玉県川口市安行出羽５－５－２６
ハッピークローバー　指定居宅介護支援事業所,埼玉県川口市東本郷２丁目１７番３１号
居宅介護支援事業所ぴゅあ,埼玉県川口市上青木西２－４－８
居宅介護支援事業所　ほっとみるく,埼玉県川口市柳崎３－１９－８
有限会社　ケアラ,埼玉県川口市西川口3-14-1　101
アクア支援事業所,埼玉県川口市前川3-59-15-101
介護支援　とうべいぬくもり,埼玉県川口市長蔵２－２６－９ニューフロンティア　Ａ２０３
ケアコスモス中青木居宅介護支援事業所,埼玉県川口市中青木３－１５－４
東電さわやかケア川口・居宅介護支援,埼玉県川口市幸町２－７－１８　フォレストビル１階－Ｂ 
川口市鳩ヶ谷居宅介護支援事業所,埼玉県川口市桜町6-4-5
居宅介護支援事業所　武南,埼玉県川口市赤井１－２５－８　マツヨシビル２０１
愛・ほーむ,埼玉県川口市西青木４－６－３０
NPO法人　桜,埼玉県川口市安行原９３０－１１　田中ビル２階
居宅介護支援事業所　春香苑,埼玉県川口市末広三丁目３番３０号
サポートセンター　ウイズ・ユウ,埼玉県川口市新井町２３－１５　ハイツカタノ１０２
ぽえむ居宅介護支援事業所,埼玉県川口市桜町４－２－１４桜マンション１０１号
愛花ケアサービス,埼玉県川口市戸塚東４丁目３１番２０号
居宅介護支援事業所　川口かがやきの里,埼玉県川口市西新井宿字北田1065-1
居宅介護支援事業所さくらケア,埼玉県川口市西川口四丁目7番17号
ケアサポートかわぐち　居宅介護支援事業所,埼玉県川口市榛松１－８－５
芝西ケアサポート,埼玉県川口市芝塚原2-4-23　SRマンション204
ケアリンク　北園,埼玉県川口市北園町４６－１５
ロイヤルケアステーション,埼玉県川口市本町4-7-21オーベル川口本町301
かわぐち翔裕園　居宅介護支援センター,埼玉県川口市赤芝新田１１４－１
居宅介護支援事業所しあわせ峯,埼玉県川口市峯１３７１番地の１
なかよし居宅介護支援事業所,埼玉県川口市芝塚原２－８－２２
居宅介護支援事業所　リズム,埼玉県川口市中青木1-5-17シトラス6ビル102
居宅介護支援センター　安行,埼玉県川口市安行原１４１１－１
介護相談たむらさん家,埼玉県川口市大字西立野１１１１番地３　テラスサラＡ－１
居宅介護支援センタープルメリア,埼玉県川口市安行原２３６４
ほほえみ居宅介護支援センター,埼玉県川口市川口六丁目４番３０号
学研ココファン　川口榛松,埼玉県川口市榛松一丁目３番３２号
居宅介護支援事業所シルバーホクソン安行,埼玉県川口市安行藤八５０１
つながりケア,埼玉県川口市戸塚２－２－３８－１０１　第三戸張ハイツ
介護センター　ラベンダー　川口,埼玉県川口市並木元町３－２８－１０３
ＳＯＭＰＯケア　川口上青木　居宅介護支援,埼玉県川口市上青木４丁目４番５号
居宅介護支援事業所　おおまえ,埼玉県川口市榛松405-5コーポ出雲101
アリス居宅介護支援事業所,埼玉県川口市江戸３－５－１３
オレンジケア,埼玉県川口市芝６８２６番地
居宅介護支援事業所　かずき,埼玉県川口市本町４－５－２６－２９０３
居宅介護支援事業所　あっとほ～む,埼玉県川口市差間三丁目１３番３
居宅介護支援事業所　オアシスふじ,埼玉県川口市江戸三丁目６番１号
居宅介護支援事業所　ケアハーモニー,埼玉県川口市桜町５－６－２１　レジデンスラクダザカ１０１
居宅介護支援事業所　こころ,埼玉県川口市三ツ和一丁目１２－４　三ツ和第一プラット２０１号室
居宅介護支援事業所　あおぞら中央,埼玉県川口市柳崎３丁目６番２５号ハイネスＵ１０１号室
希望居宅介護支援事業所,埼玉県川口市本前川3丁目2番23号
ゆうま居宅介護支援事業所,埼玉県川口市仲町１３番３５号
居宅介護支援事業所　ひかり苑,埼玉県川口市坂下町４－１６－３
介護センター　ベルケア,埼玉県川口市上青木３丁目１番１４－２１３号川口学園
ケアコスモス芝中田居宅介護支援事業所,埼玉県川口市芝中田２－２６－２４
居宅介護支援事業所　あおぞら元郷,埼玉県川口市元郷五丁目２４番８号
ケアプラン　ピュアテラス,埼玉県川口市戸塚３－３１－７
株式会社　あくび　居宅介護支援事業所,埼玉県川口市本町１－７－８Ａ１０１・Ａ１０３
居宅介護支援事業所パノラマ,埼玉県川口市東領家１丁目１４番２２号
ぬくもり介護サービス,埼玉県川口市上青木５－９－８
居宅介護支援事業所　もみじ,埼玉県川口市峯1146-1ｻﾝﾊｲﾂ峯103
コミュニケア２４八幡木居宅介護支援事業所,埼玉県川口市八幡木二丁目３１番地の３３
東電さわやかケア芝・居宅介護支援,埼玉県川口市芝1-23-5ルミエール3番館　1階
居宅介護支援事業所けやき,埼玉県川口市赤山2161-3号棟
ケアマネジメント　さくらの杜川口,埼玉県川口市芝高木2-25-4エステートピア矢作Ⅱ107号室
居宅介護支援事業所　ケアーズ,埼玉県川口市戸塚6-20-13
居宅介護支援事業所よつば,埼玉県川口市安行原1391-1
やさしい手川口三ツ和居宅介護支援事業所,埼玉県川口市三ツ和1-4-21グランドマストやさしえ川口三ツ和1階
にぎやかケアサービス,埼玉県川口市中青木1-5-2
医療法人社団光恵会　芝西居宅介護支援事業所,埼玉県川口市芝6224-1
医療生協ケアセンターすこやか,埼玉県川口市南町1-1-24
山桜＠居宅介護支援事業所,埼玉県川口市東本郷1125-1寿マンション1F店舗
居宅介護支援事業所　春輝苑,埼玉県川口市青木3-20-15
ケアプランセンターすみれ,埼玉県川口市安行領根岸500-1
ケアプラン海月,埼玉県川口市石神173-30
ケアマネスポット寿康会,埼玉県川口市西青木2-15-38
２４ケア芝介護支援事業所,埼玉県川口市芝2-13-23ファミーユ伸和1階-C
Ｍケアテック　居宅介護支援事業所,埼玉県川口市芝一丁目４４番１３号
居宅介護支援事業所　かなで,埼玉県川口市東本郷1226-1-201
埼玉県済生会ケアステーションなでしこ,埼玉県川口市西川口6-4-14-2F
居宅介護支援センターウィズ　川口,埼玉県川口市飯塚1-2-16 2F
居宅介護支援事業所なないろ,埼玉県川口市辻134-10
さしま居宅介護支援事業所,埼玉県川口市差間３２３
ユーカリ介護サービス,埼玉県川口市芝新町11-26
SOMPOケア　川口東領家　居宅介護支援,埼玉県川口市東領家2-8-6
ウェルハウス居宅介護支援事業所,埼玉県川口市木曽呂497-12
川口安行ケアプランセンター,埼玉県川口市安行藤八421-1
